weight,imgName,area,perimeter,min_rect_width,min_rect_high,approx_area,approx_perimeter,extent,hull_perimeter,hull_area,solidity,max_defect_dist,sum_defect_dist,equi_diameter,ellipse_long,ellipse_short,eccentricity,volume,maxHeight,minHeight,max2min,meanHeight,mean2min,mean2max,stdHeight,heightSum
1.73,5.1_Depth-0.png,0.0755011213905242,0.2159494600394048,0.4842463432558611,0.0255088460974996,0.0879434351164954,0.2194239643944481,0.3348897754832304,0.2144376388284082,0.0948619475720811,0.6551831186265771,0.1889219330855018,0.2618746442350262,0.1069858051921357,0.2334009879330237,0.059512683925768,0.9596652663991692,0.011045515780755,0.1933333333333333,0.8035714285714286,0.0548780487804878,0.736951714267905,0.3417053411163883,0.0331004911613747,0.3202258599333479,0.1725401820206142
1.06,63.2_Depth-0.png,0.0207632464255677,0.0929510712907745,0.3480064684443507,0.03130023798479,0.0207248027969351,0.0882344901116636,0.5935947095190173,0.0843984312565008,0.0222498618021005,0.8278878172369439,0.0936802973977695,0.1781670988552273,0.030511312041026,0.0957401658783805,0.081331841687089,0.8725820600620113,0.0379543238554971,0.16,0.5,0.1280487804878048,0.440226018368002,0.47960176444626,0.0874389059067497,0.4166654003002391,0.0280306620465777
1.89,4.6_Depth-0.png,0.3844091673675358,0.4446318774210096,0.1821517208597239,0.4774635944284008,0.3800040005913918,0.4539181641287481,0.6239323502488192,0.4310351337255657,0.4227982892554769,0.5305427159451308,0.4284014869888476,0.453576623869458,0.466423920311416,0.5260932204660153,0.4595521729979268,0.8204792832879542,0.2431927338735005,0.3133333333333333,0.3571428571428572,0.3170731707317074,0.3380702444768964,0.6108436095535541,0.2648345820660622,0.465731321195213,0.4493907452866624
1.95,73.3_Depth-0.png,0.3157940846649845,0.285986977840066,0.1377796125077853,0.4071901281130339,0.3136463651148431,0.2925727005887325,0.9549838770594874,0.278420150590395,0.2681766605568648,0.9285145822612724,0.0954275092936803,0.2389791917019796,0.3945133613004976,0.2848802653915581,0.3180383154125169,0.7979669945256123,0.2652125674303314,0.2999999999999999,0.25,0.3414634146341463,0.2622046372410855,0.7106048604575435,0.2740954742018706,0.7166891606976432,0.2824522910143514
1.72,53.5_Depth-0.png,0.2064585085506027,0.2820142871454878,0.0433083954003735,0.5096629406666733,0.208526477827157,0.2901289216584614,0.8570135294857681,0.301793453412028,0.1725800820459108,0.931525960807568,0.0376951672862453,0.1154892163683511,0.2716630296023312,0.3473700794992803,0.102789742807572,0.9604659021306116,0.2163368195905145,0.4533333333333332,0.8392857142857142,0.2804878048780488,0.5924145260636007,0.0078143850250588,0.3255465961199513,0.0667301289292317,0.3116393767885176
1.81,1.1_Depth-0.png,0.1373615783571629,0.2581479491482114,0.0362230541173176,0.4971152493335746,0.144882286946766,0.2608681207704793,0.7213045859194049,0.2746348414361839,0.1285094992871898,0.8187063773590708,0.0829739776951672,0.1079311871481879,0.1875827512239904,0.3304428977455104,0.0467155815408273,0.9726075272145772,0.1243255789195225,0.3933333333333334,0.8035714285714286,0.2378048780487805,0.7728204334552549,0.405202620921613,0.215224239045461,0.2512616412923676,0.2627282190013472
1.74,120.1_Depth-0.png,0.1851696103167928,0.3208107168793899,0.5144876269694381,0.08469311915734,0.1708600401798526,0.3032816792736579,0.3951397666500489,0.3054626610779024,0.2155959966250618,0.5702464562716592,0.2301858736059479,0.2096325343115552,0.2463542027651881,0.390796778367149,0.238034079261992,0.904255648328967,0.1009863615444098,0.26,0.75,0.1341463414634146,0.5368615741108151,0.1045238688972185,0.1555757700202019,0.0930508987685236,0.2667893164546723
1.55,177.1_Depth-0.png,0.1890331511073731,0.2030326374710225,0.1116627594065025,0.3792845215878361,0.1916631154170616,0.2110468359228364,0.7523986441784414,0.2186945553061238,0.1595385644875039,0.9176722434528456,0.0628624535315985,0.0599266333565239,0.2509847993406373,0.2221165342164652,0.2084084651245554,0.8487653633232717,0.1940554107556228,0.4,0.7857142857142856,0.25,0.5627431734215322,0.072320000610375,0.2828370805640477,0.1539649887913429,0.2618863281124086
0.92,74.1_Depth-0.png,0.0511634426689094,0.0315628483296607,0.2831194918871008,0.0380069486236026,0.0555821295321917,0.0393385760947088,0.8065058547353192,0.0360356633167359,0.0326219778301475,0.976697472844644,0.0313382899628252,0.0593890329517424,0.0736456579591655,0.0660544720446719,0.1189387818892266,0.7976505426332534,0.0415506979255068,0.16,0.5357142857142856,0.1158536585365853,0.4220109305069355,0.3693349001208592,0.0927448108824795,0.4020287966928275,0.067491219208166
1.52,44.3_Depth-0.png,0.2682839220633585,0.3376733028333514,0.0820860507793964,0.5303731921505324,0.2683614099475574,0.3486690864935758,0.5959488191361391,0.3540262971620015,0.2391914695528207,0.8592095671615945,0.1542750929368029,0.1904370375055341,0.3424948798500626,0.3934376268466791,0.2020874604484087,0.9517019581840064,0.1426907610225513,0.2333333333333332,0.4821428571428572,0.2012195121951219,0.4061772377909738,0.4583368953953452,0.1679667721423788,0.3831144485322606,0.3136603153456987
1.75,110.2_Depth-0.png,0.4472596019063639,0.6517291366202098,0.4634415140318555,0.338303106126078,0.4073036883713244,0.6311012834275224,0.4609688037091275,0.5424557799082522,0.655705391172791,0.0614630109012841,1.0,1.0,0.5293617633766319,0.4033052021598625,0.957100900085627,0.4536443139620467,0.4159317446667277,0.4333333333333332,0.375,0.4207317073170732,0.1973662503925817,0.3227490679309998,0.4213637020465364,0.2436745995128276,0.4637179062884344
1.63,39.5_Depth-0.png,0.2332404681805438,0.2390580322059058,0.4121176208889417,0.1289150387055955,0.2382613081933851,0.2436437893349123,0.716786435406382,0.245689044109737,0.2032818364318757,0.8868708986259288,0.1192936802973977,0.153785339320726,0.3028131477612956,0.2374000313191271,0.3040729678763326,0.8127919275679463,0.0532439271231221,0.1066666666666666,0.3571428571428572,0.1280487804878048,0.3574833549884217,0.6452100362888256,0.0601886257856939,0.4514290128348172,0.2659882687860294
1.59,195.6_Depth-0.png,0.1582649985982618,0.1613620858850591,0.0740115409602824,0.3758208997802871,0.1556490959533148,0.1779563196852809,0.8733044502073488,0.1810862829004266,0.1311934479648541,0.9280052472733512,0.095724907063197,0.0348175320979065,0.2136250778935753,0.1632440473953068,0.2395447221083878,0.8311817466639311,0.1249830500969484,0.38,0.8392857142857142,0.2134146341463414,0.7539474633034888,0.2937711280051193,0.2078836456989762,0.2597955051091427,0.2895121617695845
1.42,23.8_Depth-0.png,0.3359265489206616,0.4086064834758722,0.1242803161930129,0.5303036912357081,0.324552325126323,0.399312913085201,0.6425035391779064,0.4066589335761718,0.3133964679526345,0.7917593797818747,0.1459479553903345,0.234551894250838,0.4159868155410651,0.4355745645130963,0.3316304301890698,0.8737627273509019,0.1894370290324332,0.2333333333333332,0.1785714285714286,0.3048780487804878,0.2233353787218981,0.7978383388199959,0.2212270988125507,0.8122024253416258,0.3523304360674466
1.37,85.6_Depth-0.png,0.23281994673395,0.418622256356697,0.6534609772057521,0.0704381879509601,0.2539070993103328,0.4199584303144344,0.2673640042648669,0.4167062529408577,0.2577463559396002,0.5934046601056404,0.2361710037174721,0.4214787173486813,0.3023297213082725,0.6275761223594648,0.19649933917979,0.9481440030464294,0.2700182981563822,0.4533333333333332,0.4464285714285714,0.4146341463414634,0.3766489779128272,0.4840851937134006,0.3883973220816551,0.3324890175745356,0.2838952179196025
2.1,140.3_Depth-0.png,0.5537829408466499,0.616924438486985,0.2134733490200346,0.6525436106274111,0.5624570588695721,0.6173605735623343,0.5386921017868844,0.6217315430298439,0.6026373978062902,0.5004146373193543,0.2909665427509293,0.3696160900638796,0.630552459564087,0.5664961701500654,0.6054535115288038,0.8979055116921324,0.5211702690860618,0.4666666666666667,0.5,0.4085365853658537,0.2426605717172536,0.1298577889142008,0.440265174563236,0.1465784556874738,0.5652117070283775
1.61,58.7_Depth-0.png,0.2441565040650407,0.2692813288819176,0.1047146865201912,0.4720198666673771,0.2430794117391266,0.2827269577912787,0.7657949743600068,0.2891930927076349,0.2101335428122545,0.9031131520791305,0.0746096654275093,0.1652014420340269,0.3153007294088448,0.2946911619236687,0.2367781010106238,0.9025274438868816,0.1355102605544144,0.2466666666666667,0.6964285714285714,0.1402439024390244,0.4200815414414653,0.0148236930723185,0.1767546970918149,0.0161562748884866,0.2991177263780533
