weight,imgName,area,perimeter,min_rect_width,min_rect_high,approx_area,approx_perimeter,extent,hull_perimeter,hull_area,solidity,max_defect_dist,sum_defect_dist,equi_diameter,ellipse_long,ellipse_short,eccentricity,volume,maxHeight,minHeight,max2min,meanHeight,mean2min,mean2max,stdHeight,heightSum
1.73,5.1_Depth-0.png,23771.0,794.3229360580444,316.697265625,124.48931884765624,23900.5,728.343017578125,0.435613626784438,725.3503494262695,27368.0,0.8685691318327974,6088,19571,173.97177132483176,292.3785705566406,115.27400970458984,0.9884201287732536,313292.0,134,109,25,121.095501117342,12.095501117341996,12.904498882658004,5.192271014550041,2872022
1.06,63.2_Depth-0.png,20647.0,682.9259672164917,259.01202392578125,127.25862121582033,20036.0,621.0447788238525,0.5508069894624517,622.0004564523697,22376.5,0.922709092127902,3526,16924,162.13752458992,246.27545166015625,118.90188598632812,0.9691099843136672,513224.0,129,92,37,107.63034337771548,15.63034337771549,21.36965662228451,6.144239671552296,2150239
1.89,4.6_Depth-0.png,41401.0,1001.4356338977814,188.78756713867188,340.6030578613281,40691.5,920.132905960083,0.5643154092550944,897.4932618141174,49911.0,0.8294965037767226,12530,25633,229.5939685435584,390.40228271484375,181.7886657714844,0.9575565265510158,2038142.0,152,84,68,102.99460192200624,18.99460192200624,49.00539807799376,6.628576476158253,4254810
1.95,73.3_Depth-0.png,37485.0,857.75439453125,170.0,307.0,36876.5,788.1704587936401,0.7117224880382775,776.2010571956635,39282.0,0.9542538567282725,3573,18847,218.46597981012417,309.6191711425781,158.25912475585938,0.9525645703932042,2201749.0,150,78,72,99.55188569433128,21.55188569433128,50.44811430566872,9.105817621506294,3421001
1.72,53.5_Depth-0.png,31245.0,854.1564148664474,130.0,356.0,30833.0,786.1717224121094,0.6680993007890179,794.77721118927,32710.5,0.9551978722428578,2020,14942,199.4551818711416,330.5472412109375,122.46969604492188,0.9885976646298664,1838603.0,173,111,62,114.5365274075977,3.5365274075977027,58.4634725924023,2.689977974975979,3566782
1.81,1.1_Depth-0.png,27301.5,832.5411909818649,127.0,350.0,27174.0,762.2396774291992,0.6076722756410257,773.1926468610764,29681.0,0.9198308682322024,3238,14703,186.4439578816837,324.8782653808594,113.14623260498048,0.991289992395541,1154961.0,164,109,55,122.72319284896392,13.72319284896392,41.27680715103608,4.51151523376655,3322485
1.74,120.1_Depth-0.png,30030.0,889.2934985160828,329.501708984375,152.789794921875,28667.5,796.92919921875,0.4624410976623856,797.6933487653732,35667.5,0.8419429452582884,7198,17919,195.5387008456304,345.09100341796875,144.95680236816406,0.976133400087087,981551.0,144,106,38,112.0155820655452,6.015582065545203,31.9844179344548,2.9497941024673784,3342769
1.55,177.1_Depth-0.png,30250.5,782.6244504451752,158.94187927246094,293.6562194824219,29863.5,721.4914684295654,0.6215175049309665,728.7335741519928,31814.0,0.9508549695102784,2697,13185,196.25527470111737,288.599365234375,140.03094482421875,0.9638287840235146,1673052.5,165,108,57,113.19006685768863,5.190066857688635,51.809933142311365,3.551085898870899,3318280
0.92,74.1_Depth-0.png,22382.0,627.3279871940613,231.53826904296875,130.46560668945312,22040.0,581.0534191131592,0.6456097842390677,583.563688158989,23089.5,0.969358366357002,1849,13168,168.81246248503817,236.33360290527344,125.15480041503906,0.9524943992085064,539945.0,129,94,35,106.8037583037583,12.8037583037583,22.1962416962417,5.999759639542464,2347333
1.52,44.3_Depth-0.png,34773.5,904.565576314926,146.4188232421875,365.9031372070313,34273.0,834.0509948730469,0.5518552021837111,836.2897589206696,37289.5,0.9325279234100752,5156,17312,210.4162429776945,345.9754333496094,138.97994995117188,0.9866543160697612,1291414.0,140,91,49,106.08523890025803,15.085238900258034,33.914761099741966,5.813053372092546,3576876
1.75,110.2_Depth-0.png,44988.0,1188.9991228580477,307.8883056640625,274.0599060058594,42261.0,1065.0487747192385,0.4917527463518609,986.0458766222,65921.5,0.6824480632267166,27906,42912,239.3334507304516,349.2801208496094,264.5162048339844,0.8762132165322544,3321590.0,170,85,85,96.60957527578044,11.609575275780443,73.39042472421956,4.436622446575621,4326370
1.63,39.5_Depth-0.png,32773.5,815.251867890358,286.15728759765625,173.93563842773438,32542.5,748.1521110534668,0.6056604819633353,750.1877000331879,34821.0,0.9411992762987852,4215,16153,204.2755888973958,293.7178649902344,155.93710327148438,0.9558519045497214,626825.5,121,84,37,103.87555223694854,19.875552236948536,17.124447763051464,6.487396320901597,3338768
1.59,195.6_Depth-0.png,28494.5,744.8843370676041,143.0,292.0,27793.0,694.4271469116211,0.6753531475161167,698.844043135643,29865.5,0.9540941889471128,3581,12391,190.4739462694468,268.8827514648437,145.20797729492188,0.9599297294055752,1159846.0,162,111,51,121.86675364056276,10.866753640562749,40.13324635943725,4.595754238284707,3456263
1.42,23.8_Depth-0.png,38634.0,968.8082171678544,164.28427124023438,365.8699035644531,37503.5,875.4719505310059,0.5725845893913121,878.1200456619263,42390.5,0.911383446762836,4932,18707,221.788946007907,360.0872497558594,160.5190887451172,0.969371789739376,1638738.0,140,74,66,97.78803205976187,23.78803205976189,42.21196794023811,10.048642876822928,3770022
1.37,85.6_Depth-0.png,32749.5,977.8792850971222,388.3443298339844,145.9734344482422,33442.0,892.3576622009277,0.4055464744780444,886.1052479743958,38565.0,0.8492026448852587,7359,24618,204.2007797984724,424.3892822265625,138.05081176757812,0.9858653622567682,2237455.5,173,89,84,104.74527177732288,15.74527177732287,68.25472822267713,5.3133224180083705,3428208
2.1,140.3_Depth-0.png,51067.5,1157.4772638082504,202.0494384765625,424.3220520019531,51181.0,1053.8104190826416,0.5263605442176871,1049.0510408878326,62273.5,0.8200518679695216,8833,22978,254.99247136094613,403.9333801269531,206.04771423339844,0.9747252978713667,4103510.5,175,92,83,98.66499275317942,6.664992753179419,76.33500724682058,3.47817236182954,4833302
1.61,58.7_Depth-0.png,33396.5,842.6244511604309,156.0,338.0,32819.5,780.117748260498,0.6274824793792158,784.7629550695419,35292.0,0.946290944123314,3013,16514,206.20801258861852,312.9048767089844,144.7479705810547,0.9757501817969478,1238063.0,142,103,39,106.71620428175534,3.7162042817553385,35.28379571824466,2.190756144102085,3504240
1.62,27.6_Depth-0.png,46123.0,1085.7442899942398,167.5843048095703,429.21380615234375,45065.0,984.5177059173584,0.4423632091305807,977.3513877391816,50091.0,0.920784172805494,4190,18884,242.33371107177783,399.7712097167969,159.9319305419922,0.988239918889204,1958292.0,133,79,54,92.19912129641897,13.199121296418951,40.80087870358105,5.147236317278664,4176067
1.34,150.6_Depth-0.png,29527.5,821.7960238456726,143.84561157226562,327.2372131347656,28754.0,761.8315734863281,0.5893712574850299,764.8851473331451,31451.0,0.9388413722934088,4245,16143,193.8957984515588,307.6864013671875,128.40785217285156,0.9854743534750008,1245960.0,144,94,50,105.49959639209632,11.499596392096308,38.50040360790369,4.256685478357671,3006000
2.13,118.2_Depth-0.png,36892.5,1052.766586780548,149.0,435.0,34819.5,959.647720336914,0.5641055045871559,955.9578833580016,42530.0,0.8674465083470492,7377,24045,216.732530793469,409.022216796875,130.25772094726562,0.9927478446238646,2705247.0,176,89,87,107.3101308856026,18.31013088560259,68.68986911439741,5.812069978634897,3787833
1.41,6.5_Depth-0.png,25341.0,818.9259667396545,320.16778564453125,132.27755737304688,24848.0,749.5827140808105,0.5818828932261768,749.161727309227,27463.5,0.9227156043475886,3120,15178,179.62506312631808,300.48980712890625,116.55728912353516,0.9877073153608674,1133365.0,151,88,63,108.8351586179026,20.835158617902607,42.16484138209739,7.401371736143111,2693126
1.62,79.3_Depth-0.png,36902.5,934.9087215662004,209.2442779541016,290.8617858886719,36646.5,856.4626007080078,0.5509891750653229,828.4296343326569,44994.5,0.8201557968196113,13454,27032,216.7619023250842,299.7807006835937,195.34999084472656,0.932064835005246,2746326.0,174,82,92,100.76253804601168,18.762538046011684,73.23746195398832,7.070163399331976,3674709
1.9,191.3_Depth-0.png,48947.0,1139.5188949108124,196.30165100097656,433.6716918945313,47227.0,1045.2576179504397,0.4636888973095869,1032.382251739502,56713.0,0.8630649057535309,9041,25664,249.64225603080905,437.5835876464844,178.96507263183594,0.979896175217028,2470872.0,141,77,64,92.77110073494,15.771100734940006,48.22889926506,5.370140691625501,4430655
1.41,25.2_Depth-0.png,46463.0,1118.0285589694977,199.73150634765625,397.7404174804688,46209.5,1003.6729583740234,0.4514828202736318,997.98337829113,55560.5,0.8362595728980121,8364,22843,243.22526383381697,402.1229553222656,183.75852966308597,0.9819341141820572,2696204.0,152,80,72,94.9105927874269,14.910592787426909,57.08940721257309,4.758615378798929,4366172
1.9,76.6_Depth-0.png,47900.0,1207.3422679901123,485.6956481933594,174.68212890625,47219.5,1102.5872192382812,0.3813390653610381,1097.2620354890823,56384.5,0.8495242486853657,6915,22860,246.9578388972788,501.9168090820313,167.63136291503906,0.9875489297456254,3698168.0,176,82,94,99.10848621931808,17.10848621931808,76.89151378068192,5.305041222550171,4732232
1.86,80.6_Depth-0.png,42695.5,1049.8792847394943,184.39801025390625,401.3712768554688,41522.5,948.6235160827636,0.5425646825598536,944.452364206314,48370.5,0.882676424680332,9875,26588,233.1557397583001,360.6351013183594,168.55218505859375,0.9804390066491911,1776887.5,143,86,57,104.21497532201758,18.21497532201758,38.78502467798242,5.485521583317544,4328569
1.63,186.5_Depth-0.png,36326.5,911.5117534399031,157.0,353.0,35386.5,843.0836791992188,0.649476149610241,843.2329053878784,39327.5,0.9236920729769246,4222,17235,215.0635634453728,348.18414306640625,150.24098205566406,0.9669648452865414,2735639.0,178,89,89,105.5477025803531,16.547702580353103,72.4522974196469,6.271733541925415,3730478
